iter	Passed	Remaining
0	1	124
1	2	109
2	3	105
3	4	96
4	5	95
5	5	93
6	6	92
7	7	91
8	8	90
9	9	89
10	10	87
11	11	87
12	12	86
13	13	85
14	14	84
15	15	83
16	16	81
17	17	80
18	18	79
19	19	78
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	37	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	63	33
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
