iter	Passed	Remaining
0	136	136563
1	140	70232
2	145	48195
3	149	37145
4	153	30447
5	156	25998
6	161	22862
7	165	20479
8	169	18649
9	173	17162
10	177	15940
11	181	14916
12	185	14085
13	189	13314
14	191	12584
15	194	11951
16	196	11340
17	197	10793
18	199	10320
19	201	9877
20	203	9471
21	204	9097
22	206	8756
23	207	8430
24	208	8128
25	209	7853
26	210	7595
27	211	7357
28	213	7132
29	213	6919
30	215	6724
31	216	6545
32	217	6371
33	218	6209
34	219	6049
35	220	5898
36	221	5756
37	222	5621
38	222	5492
39	223	5369
40	224	5254
41	225	5141
42	226	5035
43	227	4932
44	227	4834
45	228	4740
46	229	4655
47	230	4572
48	231	4489
49	232	4413
50	233	4339
51	233	4264
52	234	4193
53	235	4124
54	236	4058
55	236	3994
56	237	3933
57	238	3874
58	239	3817
59	240	3761
60	240	3707
61	241	3656
62	242	3606
63	243	3557
64	244	3511
65	245	3468
66	245	3423
67	246	3382
68	247	3341
69	248	3299
70	249	3260
71	249	3221
72	250	3183
73	251	3146
74	252	3111
75	253	3077
76	253	3043
77	254	3010
78	255	2979
79	256	2947
80	257	2917
81	257	2887
82	258	2854
83	259	2827
84	260	2800
85	261	2774
86	261	2748
87	262	2722
88	263	2697
89	264	2672
90	265	2647
91	265	2624
92	266	2601
93	267	2578
94	268	2555
95	269	2534
96	269	2512
97	270	2492
98	271	2472
99	272	2452
100	273	2433
101	274	2415
102	275	2396
103	276	2378
104	276	2360
105	277	2342
106	278	2325
107	279	2307
108	280	2290
109	281	2273
110	281	2257
111	282	2241
112	283	2224
113	284	2208
114	284	2193
115	285	2177
116	286	2160
117	287	2146
118	288	2133
119	288	2119
120	289	2105
121	290	2091
122	291	2077
123	292	2063
124	292	2050
125	293	2037
126	294	2023
127	295	2010
128	295	1998
129	296	1986
130	297	1974
131	298	1962
132	299	1950
133	300	1938
134	300	1927
135	301	1916
136	302	1906
137	303	1895
138	304	1885
139	305	1875
140	306	1864
141	306	1853
142	307	1843
143	308	1833
144	309	1823
145	310	1813
146	310	1803
147	311	1793
148	312	1783
149	313	1774
150	313	1765
151	314	1755
152	315	1746
153	316	1738
154	317	1730
